SampleID	Group	STT
0-12	Group1	1
0-13	Group1	2
0-22	Group1	3
0-23	Group1	4
0-32	Group1	5
0-33	Group1	6
0-42	Group1	7
0-43	Group1	8
0-52	Group1	9
0-53	Group1	10
0-62	Group1	11
0-63	Group1	12
0-72	Group1	13
0-73	Group1	14
0-82	Group1	15
0-83	Group1	16
21-11	Group2	17
21-12	Group2	18
21-13	Group2	19
21-21	Group2	20
21-22	Group2	21
21-23	Group2	22
21-31	Group2	23
21-32	Group2	24
21-33	Group2	25
21-41	Group2	26
21-42	Group2	27
21-43	Group2	28
21-51	Group2	29
21-52	Group2	30
21-53	Group2	31
21-61	Group2	32
21-62	Group2	33
21-63	Group2	34
21-71	Group2	35
21-72	Group2	36
21-73	Group2	37
21-81	Group2	38
21-82	Group2	39
21-83	Group2	40
35-11	Group3	41
35-12	Group3	42
35-21	Group3	43
35-22	Group3	44
35-23	Group3	45
35-31	Group3	46
35-32	Group3	47
35-33	Group3	48
35-41	Group3	49
35-42	Group3	50
35-43	Group3	51
35-51	Group3	52
35-52	Group3	53
35-53	Group3	54
35-61	Group3	55
35-62	Group3	56
35-63	Group3	57
35-71	Group3	58
35-72	Group3	59
35-73	Group3	60
35-81	Group3	61
35-82	Group3	62
35-83	Group3	63
