	SampleID	Group	STT	Observed	Chao1	se.chao1	Shannon
0-12	0-12	Group1	1	361	361	0	3.64450379677987
0-13	0-13	Group1	2	556	556.125	0.44383096458011	4.05075052674534
0-22	0-22	Group1	3	475	475	0	3.59488135426898
0-23	0-23	Group1	4	576	576	0.0999131567356817	4.01436570532352
0-32	0-32	Group1	5	720	720.166666666667	0.543573538270605	4.45354329101134
0-33	0-33	Group1	6	663	663	0	4.34292853486359
0-42	0-42	Group1	7	436	436	0.0499426276345756	3.41121056019335
0-43	0-43	Group1	8	740	740.375	0.826604751393734	3.98031591247717
0-52	0-52	Group1	9	594	594	0	3.83589953489456
0-53	0-53	Group1	10	419	419	0	3.69107007000125
0-62	0-62	Group1	11	756	756.333333333333	0.926155236609948	4.00745458085848
0-63	0-63	Group1	12	609	609.25	0.73675536015009	4.18442238532407
0-72	0-72	Group1	13	471	471	0.0832448220674294	3.87184074371858
0-73	0-73	Group1	14	459	459	0	3.19338158109721
0-82	0-82	Group1	15	527	527	0.0713607702064303	3.48234390071656
0-83	0-83	Group1	16	632	632.2	0.621537520662994	3.96253161166902
21-11	21-11	Group2	17	329	329.6	1.18619762511364	4.09408623537929
21-12	21-12	Group2	18	372	372	0	3.18450511993272
21-13	21-13	Group2	19	593	593	0	4.05349878694657
21-21	21-21	Group2	20	595	595	0.0713685221775798	3.71768526771238
21-22	21-22	Group2	21	474	474	0.166490765122494	3.1484237752709
21-23	21-23	Group2	22	575	575	0.0999130056381659	4.04841153374789
21-31	21-31	Group2	23	568	568	0	3.96051459257267
21-32	21-32	Group2	24	385	385	0	1.40699832143542
21-33	21-33	Group2	25	691	691	0.249819037254608	4.24043606759556
21-41	21-41	Group2	26	436	436	0	3.46564368950298
21-42	21-42	Group2	27	638	638	0.0555119996448571	3.96016025620657
21-43	21-43	Group2	28	519	519	0	3.8603292836151
21-51	21-51	Group2	29	398	398	0.0832285773732133	3.68909598594294
21-52	21-52	Group2	30	397	397	0	3.96693898423284
21-53	21-53	Group2	31	454	454	0	3.22589405343445
21-61	21-61	Group2	32	759	759.166666666667	0.543576019096264	4.36148975619551
21-62	21-62	Group2	33	606	606	0.0624484110518778	3.9633584382227
21-63	21-63	Group2	34	404	404	0.249690402358006	3.6180410836791
21-71	21-71	Group2	35	631	631	0	4.7425863974075
21-72	21-72	Group2	36	759	759	0	4.78117766257458
21-73	21-73	Group2	37	692	692.857142857143	1.39530101523668	4.51816655331737
21-81	21-81	Group2	38	472	472	0	3.98681045296714
21-82	21-82	Group2	39	656	656.75	1.42367902780442	4.19207660640885
21-83	21-83	Group2	40	396	396	0	3.42690231304378
35-11	35-11	Group3	41	460	460	0	3.78979115097423
35-12	35-12	Group3	42	309	309	0	2.74194117676943
35-21	35-21	Group3	43	596	596.25	0.736752988411254	3.97872534156268
35-22	35-22	Group3	44	409	409	0.083231396495993	3.46684739782067
35-23	35-23	Group3	45	524	524	0.24976133646111	3.63857966283526
35-31	35-31	Group3	46	692	692	0.0832730996186809	4.57342196682867
35-32	35-32	Group3	47	813	813	0	4.52626096661617
35-33	35-33	Group3	48	586	586	0.249786598339258	4.07246644461682
35-41	35-41	Group3	49	604	604	0.0499585921254024	3.86349473475485
35-42	35-42	Group3	50	453	453	0.0832413031193565	3.11848673448532
35-43	35-43	Group3	51	546	546	0	3.4510917151847
35-51	35-51	Group3	52	383	383.333333333333	0.92601803084574	3.09845072054148
35-52	35-52	Group3	53	545	545	0.166513691263468	4.0079876311878
35-53	35-53	Group3	54	300	301	2.34237293432433	3.74561898740244
35-61	35-61	Group3	55	566	566	0	4.11958148161695
35-62	35-62	Group3	56	613	613	0	3.56929111090405
35-63	35-63	Group3	57	373	373	0	3.23435609696432
35-71	35-71	Group3	58	727	727	0.166552000903752	3.69047667937301
35-72	35-72	Group3	59	752	752.333333333333	0.926154486961229	3.79511469944043
35-73	35-73	Group3	60	546	546	0	3.56257748374694
35-81	35-81	Group3	61	499	499	0.124874686685291	3.61809243323618
35-82	35-82	Group3	62	659	659.2	0.621540522700832	4.05357634769432
35-83	35-83	Group3	63	601	601	0	3.74847774159661
