SampleID	ForwardPath	ReversePath
0-12	data/0-12_merged_L00_R1.fq.gz	data/0-12_merged_L00_R2.fq.gz
0-13	data/0-13_merged_L00_R1.fq.gz	data/0-13_merged_L00_R2.fq.gz
0-22	data/0-22_merged_L00_R1.fq.gz	data/0-22_merged_L00_R2.fq.gz
0-23	data/0-23_merged_L00_R1.fq.gz	data/0-23_merged_L00_R2.fq.gz
0-32	data/0-32_merged_L00_R1.fq.gz	data/0-32_merged_L00_R2.fq.gz
0-33	data/0-33_merged_L00_R1.fq.gz	data/0-33_merged_L00_R2.fq.gz
0-42	data/0-42_merged_L00_R1.fq.gz	data/0-42_merged_L00_R2.fq.gz
0-43	data/0-43_merged_L00_R1.fq.gz	data/0-43_merged_L00_R2.fq.gz
0-52	data/0-52_merged_L00_R1.fq.gz	data/0-52_merged_L00_R2.fq.gz
0-53	data/0-53_merged_L00_R1.fq.gz	data/0-53_merged_L00_R2.fq.gz
0-62	data/0-62_merged_L00_R1.fq.gz	data/0-62_merged_L00_R2.fq.gz
0-63	data/0-63_merged_L00_R1.fq.gz	data/0-63_merged_L00_R2.fq.gz
0-72	data/0-72_merged_L00_R1.fq.gz	data/0-72_merged_L00_R2.fq.gz
0-73	data/0-73_merged_L00_R1.fq.gz	data/0-73_merged_L00_R2.fq.gz
0-82	data/0-82_merged_L00_R1.fq.gz	data/0-82_merged_L00_R2.fq.gz
0-83	data/0-83_merged_L00_R1.fq.gz	data/0-83_merged_L00_R2.fq.gz
21-11	data/21-11_merged_L00_R1.fq.gz	data/21-11_merged_L00_R2.fq.gz
21-12	data/21-12_merged_L00_R1.fq.gz	data/21-12_merged_L00_R2.fq.gz
21-13	data/21-13_merged_L00_R1.fq.gz	data/21-13_merged_L00_R2.fq.gz
21-21	data/21-21_merged_L00_R1.fq.gz	data/21-21_merged_L00_R2.fq.gz
21-22	data/21-22_merged_L00_R1.fq.gz	data/21-22_merged_L00_R2.fq.gz
21-23	data/21-23_merged_L00_R1.fq.gz	data/21-23_merged_L00_R2.fq.gz
21-31	data/21-31_merged_L00_R1.fq.gz	data/21-31_merged_L00_R2.fq.gz
21-32	data/21-32_merged_L00_R1.fq.gz	data/21-32_merged_L00_R2.fq.gz
21-33	data/21-33_merged_L00_R1.fq.gz	data/21-33_merged_L00_R2.fq.gz
21-41	data/21-41_merged_L00_R1.fq.gz	data/21-41_merged_L00_R2.fq.gz
21-42	data/21-42_merged_L00_R1.fq.gz	data/21-42_merged_L00_R2.fq.gz
21-43	data/21-43_merged_L00_R1.fq.gz	data/21-43_merged_L00_R2.fq.gz
21-51	data/21-51_merged_L00_R1.fq.gz	data/21-51_merged_L00_R2.fq.gz
21-52	data/21-52_merged_L00_R1.fq.gz	data/21-52_merged_L00_R2.fq.gz
21-53	data/21-53_merged_L00_R1.fq.gz	data/21-53_merged_L00_R2.fq.gz
21-61	data/21-61_merged_L00_R1.fq.gz	data/21-61_merged_L00_R2.fq.gz
21-62	data/21-62_merged_L00_R1.fq.gz	data/21-62_merged_L00_R2.fq.gz
21-63	data/21-63_merged_L00_R1.fq.gz	data/21-63_merged_L00_R2.fq.gz
21-71	data/21-71_merged_L00_R1.fq.gz	data/21-71_merged_L00_R2.fq.gz
21-72	data/21-72_merged_L00_R1.fq.gz	data/21-72_merged_L00_R2.fq.gz
21-73	data/21-73_merged_L00_R1.fq.gz	data/21-73_merged_L00_R2.fq.gz
21-81	data/21-81_merged_L00_R1.fq.gz	data/21-81_merged_L00_R2.fq.gz
21-82	data/21-82_merged_L00_R1.fq.gz	data/21-82_merged_L00_R2.fq.gz
21-83	data/21-83_merged_L00_R1.fq.gz	data/21-83_merged_L00_R2.fq.gz
35-11	data/35-11_merged_L00_R1.fq.gz	data/35-11_merged_L00_R2.fq.gz
35-12	data/35-12_merged_L00_R1.fq.gz	data/35-12_merged_L00_R2.fq.gz
35-21	data/35-21_merged_L00_R1.fq.gz	data/35-21_merged_L00_R2.fq.gz
35-22	data/35-22_merged_L00_R1.fq.gz	data/35-22_merged_L00_R2.fq.gz
35-23	data/35-23_merged_L00_R1.fq.gz	data/35-23_merged_L00_R2.fq.gz
35-31	data/35-31_merged_L00_R1.fq.gz	data/35-31_merged_L00_R2.fq.gz
35-32	data/35-32_merged_L00_R1.fq.gz	data/35-32_merged_L00_R2.fq.gz
35-33	data/35-33_merged_L00_R1.fq.gz	data/35-33_merged_L00_R2.fq.gz
35-41	data/35-41_merged_L00_R1.fq.gz	data/35-41_merged_L00_R2.fq.gz
35-42	data/35-42_merged_L00_R1.fq.gz	data/35-42_merged_L00_R2.fq.gz
35-43	data/35-43_merged_L00_R1.fq.gz	data/35-43_merged_L00_R2.fq.gz
35-51	data/35-51_merged_L00_R1.fq.gz	data/35-51_merged_L00_R2.fq.gz
35-52	data/35-52_merged_L00_R1.fq.gz	data/35-52_merged_L00_R2.fq.gz
35-53	data/35-53_merged_L00_R1.fq.gz	data/35-53_merged_L00_R2.fq.gz
35-61	data/35-61_merged_L00_R1.fq.gz	data/35-61_merged_L00_R2.fq.gz
35-62	data/35-62_merged_L00_R1.fq.gz	data/35-62_merged_L00_R2.fq.gz
35-63	data/35-63_merged_L00_R1.fq.gz	data/35-63_merged_L00_R2.fq.gz
35-71	data/35-71_merged_L00_R1.fq.gz	data/35-71_merged_L00_R2.fq.gz
35-72	data/35-72_merged_L00_R1.fq.gz	data/35-72_merged_L00_R2.fq.gz
35-73	data/35-73_merged_L00_R1.fq.gz	data/35-73_merged_L00_R2.fq.gz
35-81	data/35-81_merged_L00_R1.fq.gz	data/35-81_merged_L00_R2.fq.gz
35-82	data/35-82_merged_L00_R1.fq.gz	data/35-82_merged_L00_R2.fq.gz
35-83	data/35-83_merged_L00_R1.fq.gz	data/35-83_merged_L00_R2.fq.gz

